600909839000|2016|01|EKV528|PEUGEOT|206 XR PRESENCE|2004|10062016|00001109,02|17062016|00001114,56
600909840000|2016|01|ELL111|TOYOTA|COROLLA XEI 2.0|2004|10062016|00001356,83|17062016|00001363,61
600909841000|2016|01|ENW620|VOLKSWAGEN|GOL 1.6|2004|10062016|00000748,67|17062016|00000752,41
600909842000|2016|01|ERZ244|SUZUKI|FUN 1.4|2004|10062016|00000748,67|17062016|00000752,41
600909843000|2016|01|DAT894|FORD|KA|1999|10062016|00000634,67|17062016|00000637,84
600909844000|2016|01|EQK567|VOLKSWAGEN|GOLF 1.6|2004|10062016|00001208,00|17062016|00001214,04
600909845000|2016|01|ERG436|SUZUKI|FUN 1.0|2004|10062016|00000723,33|17062016|00000726,94
600909846000|2016|01|EHZ352|VOLKSWAGEN|GOL 1.6|2004|10062016|00000748,67|17062016|00000752,41
600909847000|2016|01|ARW274|RENAULT|19 RN INYECCION|1996|10062016|00000550,33|17062016|00000553,08
600909848000|2016|01|ECR013|FIAT|UNO S 1.3|2002|10062016|00000526,27|17062016|00000528,90
600909849000|2016|01|EOE632|FORD|ECOSPORT 1.6 L|2004|10062016|00001148,47|17062016|00001154,21
600909850000|2016|01|SCY735|RENAULT|9 RN|1995|10062016|00000538,30|17062016|00000540,99
600909851000|2016|01|ERT499|VOLKSWAGEN|GOL 1.6|2004|10062016|00000748,67|17062016|00000752,41
600909852000|2016|01|ELL072|FIAT|PALIO FIRE 1242|2004|10062016|00000774,00|17062016|00000777,87
600909853000|2016|01|DMX888|RENAULT|EXPRESS RL 1.9D|2000|10062016|00000685,33|17062016|00000688,75
600909854000|2016|01|EQS647|VOLKSWAGEN|FOX 1.6|2004|10062016|00000932,00|17062016|00000936,66
600909855000|2016|01|EKO691|SUZUKI|FUN 1.0|2004|10062016|00000723,33|17062016|00000726,94
600909856000|2016|01|ELF115|CHEVROLET|ASTRA GL 2.0|2004|10062016|00001178,23|17062016|00001184,12
600909857000|2016|01|EMK516|SUZUKI|FUN 1.0|2004|10062016|00000723,33|17062016|00000726,94
600909858000|2016|01|BWK269|VOLKSWAGEN|GOL GL 1.6 MI|1998|10062016|00000550,33|17062016|00000553,08
600909859000|2016|01|DDM123|PEUGEOT|106 XR|2000|10062016|00000660,00|17062016|00000663,30
600909860000|2016|01|ENE263|VOLKSWAGEN|POLO 1.6 MI (30|2004|10062016|00000526,27|17062016|00000528,90
600909861000|2016|01|EHY333|VOLKSWAGEN|GOL 1.6|2004|10062016|00000748,67|17062016|00000752,41
600909862000|2016|01|END571|FORD|ECOSPORT 1.4 L|2004|10062016|00000918,38|17062016|00000922,97
600909863000|2016|01|EJL734|CITROEN|C3 1.6I 16V EXC|2004|10062016|00001251,16|17062016|00001257,41
600909864000|2016|01|ATG767|FORD|FIESTA CL D|1996|10062016|00000463,69|17062016|00000466,00
600909865000|2016|01|EOH294|FORD|FOCUS GHIA 1.8|2004|10062016|00001095,40|17062016|00001100,87
600909866000|2016|01|ARR009|FORD|MONDEO CLX|1996|10062016|00000672,67|17062016|00000676,03
600909867000|2016|01|EHQ262|FORD|ECOSPORT 1.6 L|2004|10062016|00001148,47|17062016|00001154,21
600909868000|2016|01|SMW536|VOLKSWAGEN|SENDA NAFTA / D|1992|10062016|00000286,83|17062016|00000288,26
600909869000|2016|01|CVN025|PEUGEOT|PARTNER 1.9D|1999|10062016|00000795,53|17062016|00000799,50
600909870000|2016|01|WAF348|VOLKSWAGEN|GOL GL|1992|10062016|00000212,77|17062016|00000213,83
